ID|FirstName|LastName|City|State|ZipCode
1|Calvin|Nixon|Frankfort|Maine|74475
2|Calvin|Arthur|Hartford|Utah|57988
3|Lyndon|Taft|Hartford|South Dakota|86495
4|John|Taft|Richmond|Indiana|47026
5|Zachary|Pierce|Madison|Washington|75148
6|Gerald|Reagan|Annapolis|Utah|86836
7|Grover|Adams|Dover|Idaho|69749
8|Martin|Cleveland|Little Rock|Michigan|77032
9|Benjamin|Tyler|Lincoln|Oklahoma|57509
10|John|Roosevelt|Austin|New Hampshire|88519
11|James|Monroe|Santa Fe|North Carolina|75028
12|Theodore|Tyler|Denver|Mississippi|83226
13|Woodrow|Ford|Montgomery|Illinois|50540
14|Ronald|Johnson|Salem|Alaska|56053
15|Richard|Ford|Saint Paul|Michigan|59091
16|Millard|Ford|Austin|Maryland|76057
17|Dwight|Roosevelt|Hartford|Utah|82671
18|John|Quincy|Baton Rouge|California|51125
19|Ronald|Madison|Denver|Alaska|85043
20|Woodrow|Madison|Trenton|Indiana|88397
21|Ulysses|Van Buren|Boise|Maine|59938
22|Thomas|McKinley|Tallahassee|New Hampshire|73878
23|Theodore|Kennedy|Trenton|Hawaii|89458
24|Herbert|Washington|Sacramento|Idaho|47162
25|Calvin|Hayes|Augusta|Oregon|82539
26|Harry|Madison|Helena|Missouri|46384
27|Ulysses|Washington|Lincoln|Washington|72787
28|Jimmy|Polk|Austin|Iowa|86829
29|George|Grant|Madison|Massachusetts|60072
30|George|Johnson|Dover|New Jersey|81066
31|James|Pierce|Montgomery|Florida|46693
32|George|Nixon|Little Rock|Vermont|88176
33|Bill|Wilson|Indianapolis|Florida|70921
34|Woodrow|Carter|Salt Lake City|Louisiana|70708
35|John|Taft|Jackson|Montana|80201
36|Chester|Wilson|Annapolis|Alaska|60603
37|Bill|Adams|Des Moines|Arkansas|66773
38|Calvin|Polk|Bismarck|Kansas|54642
39|Gerald|Cleveland|Helena|Pennsylvania|81059
40|Thomas|Buchanan|Salem|Washington|72768
41|Ronald|McKinley|Albany|Texas|67201
42|Thomas|Buchanan|Indianapolis|South Dakota|78649
43|Martin|Coolidge|Augusta|Utah|47690
44|George|Quincy|Jackson|Oregon|64667
45|Dwight|Harrison|Montpelier|Georgia|71004
46|Jimmy|Washington|Montpelier|Illinois|49157
47|Martin|Roosevelt|Trenton|New Mexico|76735
48|James|Truman|Augusta|Florida|63837
49|Bill|Harrison|Madison|New Jersey|50477
50|Grover|Monroe|Trenton|Michigan|52612
51|Herbert|Washington|Baton Rouge|New Hampshire|73149
52|Franklin|Harding|Denver|Arizona|78965
53|Jimmy|Monroe|Trenton|New Mexico|62416
54|Zachary|Buchanan|Jefferson City|Connecticut|76388
55|Dwight|Hoover|Sacramento|Louisiana|80947
56|Rutherford|Eisenhower|Boise|South Carolina|81996
57|Warren|Taylor|Madison|Nebraska|68736
58|James|McKinley|Harrisburg|North Carolina|85632
59|George|Cleveland|Oklahoma City|Iowa|46827
60|William|Garfield|Harrisburg|Maryland|56806
61|Zachary|Kennedy|Hartford|Oregon|49297
62|James|Coolidge|Lincoln|New Mexico|76523
63|Martin|Johnson|Hartford|Arkansas|78108
64|Calvin|Hayes|Montpelier|Washington|67613
65|Gerald|Harding|Trenton|Tennessee|67568
66|Thomas|Adams|Dover|New York|54115
67|Jimmy|Polk|Salt Lake City|Montana|65375
68|Herbert|Harrison|Charleston|Utah|67941
69|Chester|Johnson|Nashville|Missouri|62700
70|Grover|Hoover|Hartford|South Dakota|68972
71|Lyndon|Grant|Pierre|Oklahoma|56033
72|Warren|Roosevelt|Richmond|Washington|50358
73|Grover|Wilson|Dover|Louisiana|69412
74|Bill|Wilson|Trenton|Tennessee|51603
75|Grover|Clinton|Frankfort|North Carolina|48921
76|Woodrow|Johnson|Tallahassee|Oklahoma|50019
77|Martin|Harding|Atlanta|Montana|55607
78|Benjamin|Hayes|Baton Rouge|Washington|54174
79|George|Garfield|Concord|Montana|46936
80|Chester|McKinley|Honolulu|Kansas|67381
81|Millard|Truman|Bismarck|Florida|69943
82|Bill|Quincy|Salt Lake City|Indiana|83009
83|Franklin|Johnson|Charleston|Florida|74438
