ID|FirstName|LastName|Street|City|State|ZipCode
1|Ronald|Harrison|Timberlane Drive|Columbia|Indiana|88575
2|Theodore|Grant|South Highway|Austin|Washington|69093
3|Thomas|Cleveland|Greenwood Road|Topeka|South Dakota|79343
4|Richard|Van Buren|Carpinteria North|Atlanta|South Dakota|80635
5|Jimmy|Adams|E Fowler Avenue|Tallahassee|North Dakota|85187
6|Benjamin|Jackson|Cerrillos Road|Jackson|Nebraska|99579
7|William|Roosevelt|Erringer Road|Providence|Nevada|72274
8|Zachary|Quincy|E Fowler Avenue|Columbus|Hawaii|91202
9|James|Harrison|Cleveland Ave.|Denver|Alabama|86324
10|Woodrow|Cleveland|Newbury Road|Oklahoma City|Kansas|79267
11|William|Adams|Pacific Hwy S|Boise|Arkansas|80063
12|Benjamin|Coolidge|Harbor Dr|Olympia|West Virginia|99496
13|George|Quincy|Fontaine Road|Harrisburg|California|83526
14|Jimmy|Truman|French Camp Turnpike Road|Madison|Illinois|79221
15|Jimmy|Garfield|Carpinteria North|Madison|South Dakota|79234
16|Lyndon|Coolidge|Erringer Road|Dover|Nevada|86654
17|Rutherford|Buchanan|East 1st Street|Providence|Florida|85942
18|Martin|Fillmore|San Ysidro Blvd|Juneau|Missouri|93102
19|Benjamin|Cleveland|Steele Lane|Saint Paul|Alaska|74825
20|Harry|Pierce|Padre Boulevard|Bismarck|Delaware|80423
21|Thomas|Washington|Tanger Blvd|Atlanta|New Hampshire|70601
22|William|Jackson|South Highway|Salem|New Hampshire|78243
23|Gerald|McKinley|Bowles Avenue|Raleigh|Colorado|86744
24|William|Carter|Moreno Drive|Jefferson City|Hawaii|91671
25|Calvin|Johnson|Hutchinson Rd|Springfield|North Carolina|76695
26|Dwight|McKinley|S Rustle St|Santa Fe|New Hampshire|80976
27|Dwight|Adams|East Calle Primera|Phoenix|Illinois|83523
28|James|Wilson|San Simeon|Helena|Ohio|86849
29|Ronald|Madison|South Highway|Columbia|Hawaii|83595
30|Richard|Fillmore|South Highway|Olympia|Louisiana|72321
31|Dwight|Jackson|N Kentwood|Sacramento|Utah|96504
32|Thomas|Tyler|Steele Lane|Juneau|Missouri|91786
33|Jimmy|Washington|North Ventu Park Road|Phoenix|Pennsylvania|95658
34|Thomas|Pierce|Cleveland Ave.|Richmond|Oklahoma|89705
35|Martin|Adams|Santa Rosa South|Boise|Kansas|72730
36|Ronald|Fillmore|Bailard Avenue|Albany|Delaware|95588
37|Millard|Pierce|Cleveland Ave.|Springfield|Michigan|89049
38|Rutherford|Nixon|North Erringer Road|Montpelier|Maine|78142
39|Calvin|Reagan|Jean de la Fontaine|Providence|Kentucky|87399
40|Abraham|Harding|Richmond Hill|Indianapolis|Florida|82721
41|George|McKinley|Harbor Dr|Nashville|Texas|73013
42|Zachary|Wilson|Westside Freeway|Lincoln|Illinois|73066
43|Chester|Harrison|Lawrenceville Suwanee|Pierre|Nevada|86312
44|Andrew|Pierce|East 1st Street|Salt Lake City|Alaska|94736
45|Thomas|Grant|East Fry Blvd.|Springfield|Arizona|91449
46|William|Eisenhower|Hutchinson Rd|Jefferson City|Hawaii|71726
47|John|Hayes|El Camino Real|Little Rock|Vermont|73945
48|Calvin|Roosevelt|Woodson Rd.|Annapolis|Minnesota|75755
49|William|Adams|Pacific Hwy S|Boise|Kansas|91457
50|Gerald|Grant|South Highway|Trenton|Alaska|95710
51|Gerald|Jefferson|South Roosevelt Drive|Denver|Colorado|88200
52|Andrew|Pierce|San Diego Freeway|Hartford|Texas|70201
53|Zachary|Taft|Hutchinson Rd|Albany|Washington|89711
54|Bill|Eisenhower|San Simeon|Sacramento|New York|86244
55|George|Taylor|E Fowler Avenue|Raleigh|Oregon|86314
56|Grover|Roosevelt|Greenwood Road|Harrisburg|Ohio|77045
57|James|Hoover|Greenwood Road|Cheyenne|Missouri|82426
58|Andrew|McKinley|Harry S Truman Blvd|Hartford|Oregon|88308
59|Chester|Coolidge|Newbury Road|Santa Fe|Nevada|91312
60|Dwight|Madison|Pacific Hwy S|Baton Rouge|Arizona|82514
61|Millard|Roosevelt|Westside Freeway|Harrisburg|Nevada|83238
62|Harry|Quincy|North Ventu Park Road|Austin|Tennessee|70470
63|James|Arthur|Burnett Road|Montpelier|Virginia|87466
64|Theodore|Fillmore|Corona Del Mar|Concord|Maryland|87425
65|Thomas|Adams|North Broadway Street|Nashville|Kentucky|91563
66|Benjamin|Ford|Newbury Road|Madison|Michigan|69160
67|John|Buchanan|E Fowler Avenue|Saint Paul|South Dakota|91704
68|John|Clinton|E Fowler Avenue|Topeka|Nevada|77151
69|Herbert|Harrison|Milpas Street|Columbus|Pennsylvania|81002
70|John|Roosevelt|Padre Boulevard|Denver|New Jersey|81857
71|Richard|Nixon|East 1st Street|Little Rock|Iowa|91094
72|Woodrow|Monroe|Greenwood Road|Bismarck|Florida|76143
73|Rutherford|Roosevelt|Cerrillos Road|Baton Rouge|Massachusetts|74081
74|William|Roosevelt|Katella Avenue|Boston|Washington|72155
75|Thomas|Washington|East Fry Blvd.|Charleston|Minnesota|71690
76|Ronald|Pierce|Jean de la Fontaine|Richmond|Connecticut|95382
77|Benjamin|Tyler|Pacific Hwy S|Salem|Indiana|98148
78|Ulysses|Ford|Lake Tahoe Blvd.|Hartford|Missouri|85121
79|George|Harrison|Pacific Hwy S|Indianapolis|Delaware|92569
80|Chester|Adams|Hutchinson Rd|Saint Paul|Montana|99192
81|George|Kennedy|Carpinteria South|Baton Rouge|South Dakota|73212
82|Jimmy|Coolidge|East Calle Primera|Jefferson City|Colorado|75823
83|Ulysses|Coolidge|Lindbergh Blvd|Saint Paul|New Hampshire|87424
84|Bill|Johnson|Santa Rosa South|Honolulu|Louisiana|94524
85|Martin|Hoover|East Calle Primera|Madison|Iowa|93574
86|Thomas|Madison|Calle Real|Boston|California|85442
87|Abraham|Adams|East 1st Street|Richmond|Wyoming|76603
88|Herbert|Harrison|Calle Real|Annapolis|Texas|81320
89|John|Wilson|North Ventu Park Road|Sacramento|Tennessee|83681
90|Grover|Madison|North Atherton Street|Salem|Texas|73098
91|Ulysses|Harrison|S Rustle St|Lincoln|Hawaii|84174
92|Grover|Carter|North Ventu Park Road|Columbus|Montana|75659
93|Millard|Hayes|S Rustle St|Olympia|New Jersey|81183
94|Abraham|Eisenhower|Harry S Truman Blvd|Dover|Nevada|84364
95|John|Washington|Apalachee Parkway|Pierre|Alaska|86109
96|Thomas|Johnson|Harbor Dr|Tallahassee|Connecticut|83909
97|Martin|Adams|Santa Monica Road|Saint Paul|North Dakota|81091
98|Woodrow|Madison|Jean de la Fontaine|Salem|Wyoming|80104
99|Woodrow|Garfield|Carpinteria North|Albany|Tennessee|75286
100|Grover|Van Buren|Padre Boulevard|Salem|Maryland|99974
